Country,WEO_Country_Code,ISO,Date,Gross_domestic_product__constant,Gross_domestic_product__current,Gross_domestic_product_per_capit,Inflation__average_consumer_pric,Inflation__end_of_period_consume,Unemployment_rate,General_government_net_lending_b,Current_account_balance
Afghanistan,512,AFG,1980 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1981 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1982 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1983 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1984 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1985 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1986 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1987 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1988 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1989 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1990 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1991 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1992 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1993 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1994 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1995 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1996 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1997 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1998 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,1999 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,2000 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,2001 ,n/a,n/a,n/a,n/a,n/a,Not available,n/a,n/a
Afghanistan,512,AFG,2002 ,n/a,18.835,n/a,n/a,n/a,Not available,-0.098,33.908
Afghanistan,512,AFG,2003 ,8.692,20.852,4.398,35.663,6.53,Not available,-2.102,29.616
Afghanistan,512,AFG,2004 ,0.671,21.557,-3.112,16.358,13.266,Not available,-2.393,37.216
Afghanistan,512,AFG,2005 ,11.83,24.858,8.042,10.569,10.562,Not available,-0.965,30.226
Afghanistan,512,AFG,2006 ,5.361,26.983,2.194,6.785,4.285,Not available,0.643,20.844
Afghanistan,512,AFG,2007 ,13.34,31.404,9.143,8.681,16.092,Not available,-2.492,63.39
Afghanistan,512,AFG,2008 ,3.863,33.252,1.286,26.419,18.814,Not available,-3.882,33.769
Afghanistan,512,AFG,2009 ,20.585,40.403,17.527,-6.811,-9.836,Not available,-1.779,41.587
Afghanistan,512,AFG,2010 ,8.438,44.323,5.431,2.179,10.246,Not available,0.922,29.43
